10648 1566664768 0.0002229878685344508 935.292 -1 6468 .60
11224 1566666216 0.0003105945838636372 1302.747 -8 7916 .70
13243 1566671644 0.0008019550890465673 3363.693 -1 13344 1.00
14572 1566676669  0.001117013747987381 4685.165 -1 18369 1.26
14823 1566677659  0.001173314451925457 4921.311 -1 19359 1.30
15738 1566681690   0.00131637156054116 5521.345 -2 23390 1.48
17848 1566691929  0.001400033326497129 5872.253 -1 33629 1.88
26593 1566735187  0.001550373329235279 6502.834 -1 76887 2.89
26898 1566736582  0.001569854012080702 6584.543 -2 78282 2.91
28461 1566744305   0.00161788353430787 6785.997 -1 86005 3.02
30776 1566756066  0.001561208819439786 6548.282 -1 97766 3.17
31590 1566760101   0.00158081804722766 6630.531 -1 101801 3.22
31835 1566761409  0.001556784544724792 6529.725 -1 103109 3.23
33423 1566769417  0.001527714681502435 6407.796 -1 111117 3.32
33812 1566771333  0.001538613746461435 6453.510 -2 113033 3.34
34987 1566777152  0.001554855619431133 6521.635 -1 118852 3.39
35249 1566778544  0.001531003861956366 6421.592 -1 120244 3.41
37178 1566788613  0.001405575683993214 5895.500 -1 130313 3.50
39732 1566801136  0.001474895250591984 6186.251 -1 142836 3.59
40432 1566804813   0.00141224419922877 5923.470 -1 146513 3.62
42583 1566815362   0.00148027671043958 6208.823 -1 157062 3.68
42668 1566815681  0.001500528086973342 6293.765 -1 157381 3.68
45798 1566830468  0.001803691238224746 7565.343 -2 172168 3.75
46467 1566833608  0.001875635372018903 7867.103 -1 175308 3.77
46947 1566835850  0.001910432867036321 8013.056 -1 177550 3.78
47007 1566836167  0.001913016886741694 8023.894 -1 177867 3.78
47886 1566840495  0.001980642741916765 8307.542 -1 182195 3.80
47980 1566841041  0.001948546132153024 8172.917 -1 182741 3.80
48004 1566841171  0.001934937444256323 8115.837 -1 182871 3.80
48076 1566841538  0.001922556541673551 8063.907 -1 183238 3.81
48753 1566845149  0.001844737688349871 7737.506 -1 186849 3.83
48826 1566845535  0.001837296934322809 7706.297 -1 187235 3.83
49555 1566849371   0.00175890351133342 7377.486 -1 191071 3.85
50018 1566851603  0.001772580624221022 7434.853 -1 193303 3.86
50043 1566851760  0.001777997595152104 7457.574 -1 193460 3.86
50270 1566852910  0.001770839458156362 7427.550 -2 194610 3.87
50448 1566853765   0.00178542550093806 7488.729 -1 195465 3.87
50548 1566854240  0.001782665360403334 7477.152 -1 195940 3.87
50818 1566855606  0.001789681863464765 7506.582 -1 197306 3.88
53555 1566869249  0.001795745517582441 7532.015 -1 210949 3.93
60247 1566902261  0.001980229073842012 8305.807 -1 243961 4.04
61731 1566909803  0.001906804219985997 7997.836 -4 251503 4.07
63343 1566917494  0.002046200832480736 8582.517 -1 259194 4.09
65199 1566926512  0.002173455369195894 9116.269 -1 268212 4.11
65346 1566927231  0.002174507702206819 9120.683 -2 268931 4.11
65354 1566927256  0.002177967259803129 9135.194 -1 268956 4.11
65571 1566928334  0.002195676285047731 9209.472 -2 270034 4.11
65764 1566929275  0.002201700269626393 9234.738 -1 270975 4.12
66320 1566932044   0.00220251480912681 9238.155 -1 273744 4.12
66478 1566932815  0.002210808025960118 9272.940 -1 274515 4.12
66580 1566933258  0.002221841151122221 9319.217 -1 274958 4.12
67377 1566937158  0.002280304405241217 9564.433 -1 278858 4.13
67393 1566937220  0.002286659405370159 9591.088 -9 278920 4.13
67522 1566937901  0.002270495470026342 9523.291 -1 279601 4.14
67891 1566939888  0.002237473833830072 9384.786 -1 281588 4.14
67960 1566940227  0.002234524752540065 9372.416 -1 281927 4.14
68027 1566940534   0.00223347200047113 9368.001 -1 282234 4.14
68373 1566942348  0.002199883935016499 9227.120 -1 284048 4.15
68500 1566943022  0.002189760095717927 9184.657 -1 284722 4.15
68636 1566943759   0.00215446843361022 9036.631 -1 285459 4.15
68719 1566944170  0.002153960855791803 9034.502 -1 285870 4.15
68803 1566944525  0.002169072400250803 9097.885 -1 286225 4.16
69154 1566946391  0.002151770141632344 9025.313 -2 288091 4.16
69348 1566947384  0.002132252423808294 8943.449 -1 289084 4.16
69389 1566947544  0.002141706981151018 8983.105 -2 289244 4.16
69450 1566947839  0.002139630521542898 8974.395 -1 289539 4.16
69516 1566948137  0.002145152750194826 8997.557 -1 289837 4.16
69585 1566948473  0.002150595150585962 9020.385 -1 290173 4.17
69862 1566949920  0.002158792522958603 9054.768 -2 291620 4.17
69899 1566950103  0.002154686040198975 9037.544 -1 291803 4.17
69989 1566950537     0.002144290268878 8993.940 -1 292237 4.17
70099 1566951113  0.002137968679533649 8967.425 -1 292813 4.17
70158 1566951370  0.002144092714580053 8993.111 -1 293070 4.17
70553 1566953401  0.002125471959532389 8915.009 -2 295101 4.18
70991 1566955580  0.002135204672082607 8955.832 -2 297280 4.18
71086 1566956112  0.002130477898035103 8936.006 -7 297812 4.18
71159 1566956514  0.002116422313301421 8877.051 -1 298214 4.19
71460 1566958114  0.002077637412246886 8714.373 -1 299814 4.19
71851 1566960082   0.00205492260810583 8619.099 -1 301782 4.20
71971 1566960630  0.002072725381962156 8693.770 -1 302330 4.20
72059 1566961040  0.002074152855649722 8699.758 -1 302740 4.20
72719 1566964422  0.002051678184156956 8605.491 -2 306122 4.20
72751 1566964567  0.002059170638272201 8636.917 -13 306267 4.20
72872 1566965112  0.002070529236561575 8684.559 -2 306812 4.21
72920 1566965373  0.002071601580834156 8689.057 -1 307073 4.21
72924 1566965377   0.00207091448246572 8686.175 -1 307077 4.21
73096 1566966237  0.002068020274582351 8674.035 -1 307937 4.21
73288 1566967142  0.002100049989745693 8808.380 -1 308842 4.21
74370 1566972687   0.00205176040322516 8605.836 -2 314387 4.22
